Definiere: Marke	"Ein Zeichen, das geeignet ist, Waren oder Dienstleistungen eines Unternehmens von denjenigen anderer Unternehmen zu unterscheiden (<a href=""https://www.gesetze-im-internet.de/markeng/__3.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 3 Abs. 1 MarkenG</a>). Schutz entsteht durch Eintragung, Verkehrsgeltung oder notorische Bekanntheit (<a href=""https://www.gesetze-im-internet.de/markeng/__4.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 4 MarkenG</a>).<br><br>Normen: <a href=""https://www.gesetze-im-internet.de/markeng/__1.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 1</a>, <a href=""https://www.gesetze-im-internet.de/markeng/__3.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 3</a>, <a href=""https://www.gesetze-im-internet.de/markeng/__4.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 4 MarkenG</a>"	Begriff Grundlagen
Welcher Begriff wird so definiert?<br><br>Abstrakte Eignung eines Zeichens, Waren oder Dienstleistungen eines Unternehmens von denen anderer Unternehmen zu unterscheiden (abstrakte Unterscheidungseignung). Alle Zeichenarten kommen in Betracht, insbes. Wörter, Abbildungen, Buchstaben, Zahlen, Klänge, dreidimensionale Gestaltungen, Farben.	"Markenfähigkeit (<a href=""https://www.gesetze-im-internet.de/markeng/__3.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 3 Abs. 1</a>)"	Begriff Umkehr Schutzvoraussetzungen
"Definiere: Formausschluss (<a href=""https://www.gesetze-im-internet.de/markeng/__3.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 3 Abs. 2</a>)"	"Nicht markenfähig sind Zeichen, die ausschließlich aus Formen oder anderen charakteristischen Merkmalen bestehen, die (1) durch die Art der Ware selbst bedingt sind, (2) zur Erreichung einer technischen Wirkung erforderlich sind oder (3) der Ware einen wesentlichen Wert verleihen.<br><br>Normen: <a href=""https://www.gesetze-im-internet.de/markeng/__3.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 3 Abs. 2 MarkenG</a><br><br>Rechtsprechung: BGH Quadratische Tafelschokoladenverpackung II (I ZB 42/19); BGH Bodendübel (I ZB 105/16); BGH Traubenzuckertäfelchen (I ZB 3/17); EuGH Philips/Remington (C-299/99)"	Begriff Schutzvoraussetzungen
Welcher Begriff wird so definiert?<br><br>Nicht markenfähig sind Zeichen, die ausschließlich aus Formen oder anderen charakteristischen Merkmalen bestehen, die (1) durch die Art der Ware selbst bedingt sind, (2) zur Erreichung einer technischen Wirkung erforderlich sind oder (3) der Ware einen wesentlichen Wert verleihen.	"Formausschluss (<a href=""https://www.gesetze-im-internet.de/markeng/__3.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 3 Abs. 2</a>)"	Begriff Umkehr Schutzvoraussetzungen
Definiere: Formmarke / dreidimensionale Marke	"Marke, die aus der dreidimensionalen Gestaltung der Ware selbst oder ihrer Verpackung besteht (<a href=""https://www.gesetze-im-internet.de/markeng/__3.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 3 Abs. 1</a>). Sie unterliegt dem Formausschluss des <a href=""https://www.gesetze-im-internet.de/markeng/__3.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 3 Abs. 2</a> und strengen Anforderungen an die Unterscheidungskraft.<br><br>Normen: <a href=""https://www.gesetze-im-internet.de/markeng/__3.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 3 Abs. 1</a>, <a href=""https://www.gesetze-im-internet.de/markeng/__3.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 3 Abs. 2</a>, <a href=""https://www.gesetze-im-internet.de/markeng/__8.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 8 Abs. 2 Nr. 1 MarkenG</a><br><br>Rechtsprechung: BGH ROCHER-Kugel (I ZB 88/07); BGH Quadratische Tafelschokoladenverpackung II (I ZB 42/19); BGH Bodendübel (I ZB 105/16); BGH Traubenzuckertäfelchen (I ZB 3/17)"	Begriff Markenformen
"Welcher Begriff wird so definiert?<br><br>Marke, die aus der dreidimensionalen Gestaltung der Ware selbst oder ihrer Verpackung besteht (<a href=""https://www.gesetze-im-internet.de/markeng/__3.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 3 Abs. 1</a>). Sie unterliegt dem Formausschluss des <a href=""https://www.gesetze-im-internet.de/markeng/__3.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 3 Abs. 2</a> und strengen Anforderungen an die Unterscheidungskraft."	Formmarke / dreidimensionale Marke	Begriff Umkehr Markenformen
Definiere: Abstrakte Farbmarke	"Marke, die aus einer Farbe oder Farbkombination ohne räumliche Begrenzung besteht. Markenfähig, wenn die Farbe eindeutig bestimmt ist (Farbcode). Originäre Unterscheidungskraft nur ausnahmsweise; regelmäßig Eintragung nur über Verkehrsdurchsetzung.<br><br>Normen: <a href=""https://www.gesetze-im-internet.de/markeng/__3.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 3 Abs. 1</a>, <a href=""https://www.gesetze-im-internet.de/markeng/__8.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 8 Abs. 1</a>, <a href=""https://www.gesetze-im-internet.de/markeng/__8.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 8 Abs. 3 MarkenG</a><br><br>Rechtsprechung: EuGH Libertel (C-104/01); BGH Langenscheidt-Gelb (I ZB 61/13); BGH Nivea-Blau (I ZB 65/13); BGH Sparkassen-Rot (I ZB 52/15)"	Begriff Markenformen
Welcher Begriff wird so definiert?<br><br>Marke, die aus einer Farbe oder Farbkombination ohne räumliche Begrenzung besteht. Markenfähig, wenn die Farbe eindeutig bestimmt ist (Farbcode). Originäre Unterscheidungskraft nur ausnahmsweise; regelmäßig Eintragung nur über Verkehrsdurchsetzung.	Abstrakte Farbmarke	Begriff Umkehr Markenformen
"Definiere: Darstellbarkeit im Register (<a href=""https://www.gesetze-im-internet.de/markeng/__8.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 8 Abs. 1</a>)"	"Von der Eintragung ausgeschlossen sind Zeichen, die nicht geeignet sind, in dem Register so dargestellt zu werden, dass die zuständigen Behörden und das Publikum den Gegenstand des Schutzes klar und eindeutig bestimmen können.<br><br>Normen: <a href=""https://www.gesetze-im-internet.de/markeng/__8.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 8 Abs. 1</a>, <a href=""https://www.gesetze-im-internet.de/markeng/__32.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 32 MarkenG</a><br><br>Rechtsprechung: EuGH Libertel (C-104/01)"	Begriff Schutzvoraussetzungen
Welcher Begriff wird so definiert?<br><br>Von der Eintragung ausgeschlossen sind Zeichen, die nicht geeignet sind, in dem Register so dargestellt zu werden, dass die zuständigen Behörden und das Publikum den Gegenstand des Schutzes klar und eindeutig bestimmen können.	"Darstellbarkeit im Register (<a href=""https://www.gesetze-im-internet.de/markeng/__8.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 8 Abs. 1</a>)"	Begriff Umkehr Schutzvoraussetzungen
"Definiere: Absolute Schutzhindernisse (<a href=""https://www.gesetze-im-internet.de/markeng/__8.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 8 Abs. 2</a>)"	"Eintragungshindernisse, die im Allgemeininteresse (nicht im Interesse einzelner Rechtsinhaber) bestehen und vom DPMA von Amts wegen geprüft werden (<a href=""https://www.gesetze-im-internet.de/markeng/__37.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 37</a>): u.a. fehlende Unterscheidungskraft (Nr. 1), Freihaltebedürfnis (Nr. 2), üblich gewordene Bezeichnungen (Nr. 3), Täuschungseignung (Nr. 4), Verstoß gegen öffentliche Ordnung/gute Sitten (Nr. 5), Hoheitszeichen (Nr. 6-8), geschützte Herkunftsangaben u.a. (Nr. 9-13), Bösgläubigkeit (Nr. 14).<br><br>Normen: <a href=""https://www.gesetze-im-internet.de/markeng/__8.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 8 Abs. 2</a>, <a href=""https://www.gesetze-im-internet.de/markeng/__37.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 37</a>, <a href=""https://www.gesetze-im-internet.de/markeng/__50.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 50 MarkenG</a><br><br>Rechtsprechung: BGH smartbook (I ZB 59/12); BGH Black Friday (I ZB 21/20)"	Begriff Schutzvoraussetzungen
"Welcher Begriff wird so definiert?<br><br>Eintragungshindernisse, die im Allgemeininteresse (nicht im Interesse einzelner Rechtsinhaber) bestehen und vom DPMA von Amts wegen geprüft werden (<a href=""https://www.gesetze-im-internet.de/markeng/__37.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 37</a>): u.a. fehlende Unterscheidungskraft (Nr. 1), Freihaltebedürfnis (Nr. 2), üblich gewordene Bezeichnungen (Nr. 3), Täuschungseignung (Nr. 4), Verstoß gegen öffentliche Ordnung/gute Sitten (Nr. 5), Hoheitszeichen (Nr. 6-8), geschützte Herkunftsangaben u.a. (Nr. 9-13), Bösgläubigkeit (Nr. 14)."	"Absolute Schutzhindernisse (<a href=""https://www.gesetze-im-internet.de/markeng/__8.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 8 Abs. 2</a>)"	Begriff Umkehr Schutzvoraussetzungen
"Definiere: Unterscheidungskraft (<a href=""https://www.gesetze-im-internet.de/markeng/__8.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 8 Abs. 2 Nr. 1</a>)"	"Die einer Marke innewohnende (konkrete) Eignung, vom Verkehr als Unterscheidungsmittel aufgefasst zu werden, das die beanspruchten Waren oder Dienstleistungen als von einem bestimmten Unternehmen stammend kennzeichnet und von denen anderer Unternehmen unterscheidet.<br><br>Normen: <a href=""https://www.gesetze-im-internet.de/markeng/__8.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 8 Abs. 2 Nr. 1</a>, <a href=""https://www.gesetze-im-internet.de/markeng/__8.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 8 Abs. 3 MarkenG</a><br><br>Rechtsprechung: BGH HOT (I ZB 3/13); BGH Link economy (I ZB 56/09); BGH #darferdas? II (I ZB 61/17); EuGH AS/DPMA (#darferdas?) (C-541/18)"	Begriff Schutzvoraussetzungen
Welcher Begriff wird so definiert?<br><br>Die einer Marke innewohnende (konkrete) Eignung, vom Verkehr als Unterscheidungsmittel aufgefasst zu werden, das die beanspruchten Waren oder Dienstleistungen als von einem bestimmten Unternehmen stammend kennzeichnet und von denen anderer Unternehmen unterscheidet.	"Unterscheidungskraft (<a href=""https://www.gesetze-im-internet.de/markeng/__8.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 8 Abs. 2 Nr. 1</a>)"	Begriff Umkehr Schutzvoraussetzungen
Definiere: Berücksichtigung der Verwendungsformen	"Bei der Prüfung der Unterscheidungskraft sind alle wahrscheinlichen und praktisch bedeutsamen Verwendungsarten des Zeichens in der betreffenden Branche zu berücksichtigen; nur wenn eine einzige Verwendungsart praktisch bedeutsam ist, darf die Prüfung auf diese beschränkt werden.<br><br>Normen: <a href=""https://www.gesetze-im-internet.de/markeng/__8.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 8 Abs. 2 Nr. 1 MarkenG</a><br><br>Rechtsprechung: EuGH AS/DPMA (#darferdas?) (C-541/18); BGH #darferdas? II (I ZB 61/17); BGH Marlene-Dietrich-Bildnis II (I ZB 62/09)"	Begriff Schutzvoraussetzungen
Welcher Begriff wird so definiert?<br><br>Bei der Prüfung der Unterscheidungskraft sind alle wahrscheinlichen und praktisch bedeutsamen Verwendungsarten des Zeichens in der betreffenden Branche zu berücksichtigen; nur wenn eine einzige Verwendungsart praktisch bedeutsam ist, darf die Prüfung auf diese beschränkt werden.	Berücksichtigung der Verwendungsformen	Begriff Umkehr Schutzvoraussetzungen
"Definiere: Freihaltebedürfnis / beschreibende Angaben (<a href=""https://www.gesetze-im-internet.de/markeng/__8.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 8 Abs. 2 Nr. 2</a>)"	"Von der Eintragung ausgeschlossen sind Zeichen, die ausschließlich aus Angaben bestehen, die im Verkehr zur Bezeichnung der Art, Beschaffenheit, Menge, Bestimmung, des Wertes, der geographischen Herkunft, der Zeit der Herstellung oder sonstiger Merkmale der Waren/Dienstleistungen dienen können.<br><br>Normen: <a href=""https://www.gesetze-im-internet.de/markeng/__8.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 8 Abs. 2 Nr. 2</a>, <a href=""https://www.gesetze-im-internet.de/markeng/__8.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 8 Abs. 3 MarkenG</a><br><br>Rechtsprechung: BGH Black Friday (I ZB 21/20); EuGH Windsurfing Chiemsee (C-108/97); BGH HOT (I ZB 3/13); BGH marktfrisch (I ZB 42/98)"	Begriff Schutzvoraussetzungen
Welcher Begriff wird so definiert?<br><br>Von der Eintragung ausgeschlossen sind Zeichen, die ausschließlich aus Angaben bestehen, die im Verkehr zur Bezeichnung der Art, Beschaffenheit, Menge, Bestimmung, des Wertes, der geographischen Herkunft, der Zeit der Herstellung oder sonstiger Merkmale der Waren/Dienstleistungen dienen können.	"Freihaltebedürfnis / beschreibende Angaben (<a href=""https://www.gesetze-im-internet.de/markeng/__8.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 8 Abs. 2 Nr. 2</a>)"	Begriff Umkehr Schutzvoraussetzungen
"Definiere: Üblich gewordene Bezeichnungen (<a href=""https://www.gesetze-im-internet.de/markeng/__8.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 8 Abs. 2 Nr. 3</a>)"	"Ausgeschlossen sind Zeichen, die im allgemeinen Sprachgebrauch oder in den redlichen und ständigen Verkehrsgepflogenheiten zur Bezeichnung der Waren oder Dienstleistungen üblich geworden sind (Gattungsbezeichnungen, Freizeichen).<br><br>Normen: <a href=""https://www.gesetze-im-internet.de/markeng/__8.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 8 Abs. 2 Nr. 3</a>, <a href=""https://www.gesetze-im-internet.de/markeng/__49.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 49 Abs. 2 Nr. 1 MarkenG</a><br><br>Rechtsprechung: BGH TÜV II (I ZR 108/09)"	Begriff Schutzvoraussetzungen
Welcher Begriff wird so definiert?<br><br>Ausgeschlossen sind Zeichen, die im allgemeinen Sprachgebrauch oder in den redlichen und ständigen Verkehrsgepflogenheiten zur Bezeichnung der Waren oder Dienstleistungen üblich geworden sind (Gattungsbezeichnungen, Freizeichen).	"Üblich gewordene Bezeichnungen (<a href=""https://www.gesetze-im-internet.de/markeng/__8.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 8 Abs. 2 Nr. 3</a>)"	Begriff Umkehr Schutzvoraussetzungen
"Definiere: Täuschungseignung (<a href=""https://www.gesetze-im-internet.de/markeng/__8.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 8 Abs. 2 Nr. 4</a>)"	"Ausgeschlossen sind Zeichen, die geeignet sind, das Publikum insbesondere über die Art, die Beschaffenheit oder die geographische Herkunft der Waren oder Dienstleistungen zu täuschen.<br><br>Normen: <a href=""https://www.gesetze-im-internet.de/markeng/__8.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 8 Abs. 2 Nr. 4</a>, <a href=""https://www.gesetze-im-internet.de/markeng/__37.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 37 Abs. 3</a>, <a href=""https://www.gesetze-im-internet.de/markeng/__49.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 49 Abs. 2 Nr. 2 MarkenG</a>"	Begriff Schutzvoraussetzungen
Welcher Begriff wird so definiert?<br><br>Ausgeschlossen sind Zeichen, die geeignet sind, das Publikum insbesondere über die Art, die Beschaffenheit oder die geographische Herkunft der Waren oder Dienstleistungen zu täuschen.	"Täuschungseignung (<a href=""https://www.gesetze-im-internet.de/markeng/__8.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 8 Abs. 2 Nr. 4</a>)"	Begriff Umkehr Schutzvoraussetzungen
"Definiere: Bösgläubige Markenanmeldung (<a href=""https://www.gesetze-im-internet.de/markeng/__8.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 8 Abs. 2 Nr. 14</a>)"	"Eine Anmeldung ist bösgläubig, wenn der Anmelder das Zeichen nicht zur Förderung des eigenen Absatzes, sondern rechtsmissbräuchlich oder sittenwidrig anmeldet, insbesondere um einen schutzwürdigen Besitzstand eines Vorbenutzers zu stören, Dritte zu behindern (Sperrmarke) oder Lizenzgebühren zu erpressen (Hinterhaltsmarke).<br><br>Normen: <a href=""https://www.gesetze-im-internet.de/markeng/__8.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 8 Abs. 2 Nr. 14</a>, <a href=""https://www.gesetze-im-internet.de/markeng/__37.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 37 Abs. 3</a>, <a href=""https://www.gesetze-im-internet.de/markeng/__50.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 50 MarkenG</a><br><br>Rechtsprechung: BGH GLÜCKSPILZ (I ZB 69/14); BGH EROS (I ZR 190/05); BGH Ivadal (I ZB 8/06)"	Begriff Schutzvoraussetzungen
